field,den,n,temp,ss_val,ss_fluc,ht_val,ht_fluc,mag_val,mag_fluc
0.17,0.5,218,3.73E-02,2.93E-03,0,0.996216406,3.55E-04,0.995731553,9.97E-05
0.17,0.55,218,3.73E-02,0,0,0.997070313,0,0.99822589,8.17E-05
0.17,0.6,218,3.72E-02,0.326072266,3.00E-04,0.875186719,5.06E-04,0.757634564,2.00E-04
0.18,0.05,218,3.68E-02,6.25E-02,1.10E-04,0.867315234,5.83E-04,0.945666509,4.45E-04
0.18,0.1,218,3.70E-02,1.07E-02,0,0.925737109,1.95E-04,0.983718661,4.40E-04
0.18,0.15,218,3.69E-02,8.79E-03,0,0.950161328,2.09E-04,0.989431806,2.42E-04
0.18,0.2,218,3.70E-02,8.79E-03,0,0.954030078,2.53E-04,0.990255856,2.76E-04
0.18,0.25,218,3.71E-02,0,0,0.971655078,1.46E-04,0.995327526,1.88E-04
0.18,0.3,218,3.71E-02,8.79E-03,0,0.972652344,6.16E-05,0.990010997,2.11E-04
0.18,0.35,218,3.71E-02,8.79E-03,0,0.971667578,1.04E-04,0.99122077,1.51E-04
0.18,0.4,218,3.72E-02,2.93E-03,0,0.985333203,1.30E-04,0.995536008,1.34E-04
0.18,0.45,218,3.73E-02,5.86E-03,0,0.993163281,1.75E-05,0.992204022,1.33E-04
0.18,0.5,218,3.72E-02,0,0,0.989223047,1.79E-04,0.997022738,1.35E-04
0.18,0.55,218,3.73E-02,2.93E-03,0,0.998046875,0,0.99569392,9.70E-05
0.18,0.6,218,3.72E-02,0.264633203,7.28E-04,0.900536719,8.57E-04,0.794314894,1.45E-04
0.19,0.05,218,3.69E-02,3.70E-02,2.68E-04,0.867405859,1.32E-03,0.964028077,3.18E-04
0.19,0.1,218,3.69E-02,1.17E-02,0,0.926754688,4.44E-05,0.985105729,3.80E-04
0.19,0.15,218,3.71E-02,5.86E-03,0,0.949323047,3.01E-04,0.991762914,3.15E-04
0.19,0.2,218,3.71E-02,8.79E-03,0,0.968734766,1.06E-04,0.989037373,1.88E-04
0.19,0.3,218,3.72E-02,0,0,0.972651953,5.15E-05,0.997147207,1.26E-04
0.19,0.35,218,3.72E-02,5.86E-03,0,0.98046875,0,0.991579462,1.53E-04
0.19,0.4,218,3.73E-02,2.93E-03,0,0.988273047,8.74E-05,0.996108375,8.84E-05
0.19,0.45,218,3.73E-02,0,0,0.995085156,1.71E-04,0.996820404,1.24E-04
0.19,0.5,218,3.73E-02,0,0,0.998028125,1.31E-04,0.993590664,1.47E-04
0.19,0.55,218,3.74E-02,0,0,0.998032031,1.14E-04,0.998246163,8.16E-05
0.19,0.6,218,3.73E-02,0.219503516,6.33E-04,0.9141625,2.97E-04,0.834621563,1.44E-04
0.2,0.05,218,3.69E-02,2.34E-02,1.52E-04,0.869715234,7.09E-04,0.973745785,4.37E-04
0.2,0.1,218,3.70E-02,2.54E-02,1.30E-04,0.926138672,5.35E-04,0.976286641,2.81E-04
0.2,0.15,218,3.71E-02,1.17E-02,0,0.959908594,2.17E-04,0.986283544,2.41E-04
0.2,0.2,218,3.71E-02,0,0,0.96086875,2.45E-04,0.994545546,2.51E-04
0.2,0.3,218,3.72E-02,0,0,0.982420313,3.49E-05,0.99694213,1.44E-04
0.2,0.35,218,3.73E-02,4.88E-03,0,0.988274219,7.88E-05,0.994045959,1.21E-04
0.2,0.4,218,3.74E-02,2.93E-03,0,0.989257813,0,0.994473166,1.23E-04
0.2,0.45,218,3.73E-02,0,0,0.998033594,1.09E-04,0.994357985,1.36E-04
0.2,0.5,218,3.74E-02,0,0,0.988279297,3.14E-05,0.996919709,9.65E-05
0.2,0.55,218,3.75E-02,2.93E-03,0,0.997058594,1.03E-04,0.995632976,9.03E-05
0.2,0.6,218,3.74E-02,0.191188281,4.06E-04,0.925922266,4.98E-04,0.85968608,1.18E-04
